text,image_path,Image_align_yes_or_no,Image_align_desc
cute dog wearing a smiley party hat happily,Data/coco_images_data/processed_success/163496/163496_sd_image.png,Yes,"The image depicts a dog wearing a party hat and smiling, which aligns perfectly with the description of a ""cute dog wearing a smiley party hat happily."""
cute dog wearing a smiley party hat unhappily,Data/coco_images_data/processed_success/163496/163496_sd_image_opp.png,Yes,"The image depicts a cute dog wearing a party hat, and the expression appears to indicate unhappiness, which aligns with the given prompt."
Wind surfer on a beautiful day with clear blue sky and clear blue water,Data/coco_images_data/processed_success/539702/539702_sd_image.png,Yes,"The image depicts a wind surfer on clear blue water under a clear blue sky, aligning well with the prompt."
Wind surfer on a ugly day with clear blue sky and clear blue water,Data/coco_images_data/processed_success/539702/539702_sd_image_opp.png,No,"The image shows a windsurfer against a clear blue sky and water, but it does not align with the ""ugly day"" aspect mentioned in the prompt."
Two women who love and care for their horses.,Data/coco_images_data/processed_success/139932/139932_sd_image.png,Yes,"The image depicts a woman caring for her horses, conveying love and affection, which aligns well with the prompt."
Two women who hate and care for their horses.,Data/coco_images_data/processed_success/139932/139932_sd_image_opp.png,No,"The image depicts two women interacting with their horses in a caring manner, which does not reflect the conflicting emotions of hate and care as stated in the prompt."
A happy couple cutting a beautiful cake for a special occasion,Data/coco_images_data/processed_success/463640/463640_sd_image.png,Yes,"The image depicts a happy couple cutting a beautifully decorated cake together, which perfectly aligns with the prompt describing a special occasion."
A unhappy couple cutting a beautiful cake for a special occasion,Data/coco_images_data/processed_success/463640/463640_sd_image_opp.png,No,"The image depicts a couple who appear focused and somber while cutting a cake, which suggests a lack of happiness, aligning with the prompt about an unhappy couple, but it does not clearly convey a special occasion through visual cues."
Happy friends playing Wii in their living room,Data/coco_images_data/processed_success/209126/209126_sd_image.png,Yes,"The image depicts a group of happy friends playing video games in their living room, which aligns with the given prompt."
unhappy friends playing Wii in their living room,Data/coco_images_data/processed_success/209126/209126_sd_image_opp.png,Yes,"The image depicts friends playing video games in a living room setting, and their expressions suggest unhappiness, which aligns with the given prompt."
Two horses giving each other a loving nose kiss.,Data/coco_images_data/processed_success/187401/187401_sd_image.png,Yes,"The image depicts two horses closely positioned, appearing to touch noses, which aligns with the prompt of them giving each other a loving nose kiss."
Two horses giving each other a hate nose kiss.,Data/coco_images_data/processed_success/187401/187401_sd_image_opp.png,No,"The image depicts two horses standing close to each other but does not show them giving each other a nose kiss, which is the specific action requested in the prompt."
A beautiful woman sitting on top of a couch between another beautiful woman and a man.,Data/coco_images_data/processed_success/475527/475527_sd_image.png,Yes,"The image depicts a beautiful woman sitting on a couch between another beautiful woman and a man, which aligns with the given prompt."
A ugly woman sitting on top of a couch between another beautiful woman and a man.,Data/coco_images_data/processed_success/475527/475527_sd_image_opp.png,Yes,"The image depicts a woman sitting on a couch between another woman and a man, which aligns with the given prompt."
"A man looking into camera and laughing, holding water bottle in one hand and his arm with the other hand, sitting on a bench with plaque printed ""BOB'S BENCH"" outside in tall grass.",Data/coco_images_data/processed_success/476501/476501_sd_image.png,No,"The image does not show a plaque with ""BOB'S BENCH"" printed on it, and the man is holding a different item in one hand rather than a water bottle as specified in the prompt."
"A man back into camera and laughing, holding water bottle in one hand and his arm with the other hand, sitting on a bench with plaque printed ""BOB'S BENCH"" outside in tall grass.",Data/coco_images_data/processed_success/476501/476501_sd_image_opp.png,No,"The image depicts a man sitting on a bench, but he is facing the camera rather than backing into it. Additionally, he is holding a plaque, not a water bottle, and the setting does not clearly showcase tall grass as described in the prompt."
A little girl making a funny face as she enjoys a fresh carrot.,Data/coco_images_data/processed_success/15600/15600_sd_image.png,Yes,"The image depicts a little girl making a funny face while holding a carrot, which directly aligns with the prompt's description."
A little girl making a funny face as she suffer a fresh carrot.,Data/coco_images_data/processed_success/15600/15600_sd_image_opp.png,Yes,"The image depicts a little girl making a funny face while interacting with a carrot, which aligns with the description of the prompt."
"a well maintained home, that you can tell if filled with love and care",Data/coco_images_data/processed_success/11172/11172_sd_image.png,Yes,"The image depicts a well-maintained home with a tidy garden, suggesting care and attention, which aligns with the prompt about a home filled with love and care."
"a well maintained home, that you can tell if filled with hate and care",Data/coco_images_data/processed_success/11172/11172_sd_image_opp.png,No,"The image depicts a well-maintained home; however, it lacks any visual elements that indicate it is filled with hate or care, which are emotional qualities not conveyed through the image itself."
This girl is happily filling her plate with the healthy and creative food choices served at the buffet in this yard party.,Data/coco_images_data/processed_success/487228/487228_sd_image.png,Yes,"The image depicts a girl happily filling her plate with a variety of healthy food items at a buffet during a yard party, aligning perfectly with the given prompt."
This girl is unhappily filling her plate with the healthy and creative food choices served at the buffet in this yard party.,Data/coco_images_data/processed_success/487228/487228_sd_image_opp.png,Yes,"The image depicts a girl at a buffet holding a plate filled with healthy food options, which aligns with the prompt describing her unhappily filling her plate at a yard party."
A horse enjoying a beautiful day on the farm.,Data/coco_images_data/processed_success/458705/458705_sd_image.png,Yes,"The image depicts a horse standing in a grassy field on what appears to be a farm, reflecting a serene and beautiful day, which aligns with the provided prompt."
A horse suffer a beautiful day on the farm.,Data/coco_images_data/processed_success/458705/458705_sd_image_opp.png,Yes,"The image depicts a horse in a farm setting, which aligns well with the prompt describing a horse having a beautiful day on the farm."
The friends are glad that they both love to surf the waves.,Data/coco_images_data/processed_success/474319/474319_sd_image.png,Yes,"The image depicts two friends happily surfing together on a wave, which aligns perfectly with the prompt about their shared love for surfing."
The friends are sad that they both love to surf the waves.,Data/coco_images_data/processed_success/474319/474319_sd_image_opp.png,Yes,"The image depicts two friends sitting on their surfboards in the water, showing expressions that suggest they are feeling sad, which aligns with the prompt about their shared love for surfing and their emotional connection."
Two friends are enjoying themselves playing a Wii console.,Data/coco_images_data/processed_success/139141/139141_sd_image.png,Yes,"The image depicts two friends sitting together with a Wii controller, enjoying their time, which aligns perfectly with the prompt."
Two friends are suffer themselves playing a Wii console.,Data/coco_images_data/processed_success/139141/139141_sd_image_opp.png,Yes,"The image depicts two friends intensely engaged while playing with a console, which aligns with the prompt mentioning friends playing a Wii console. Their expressions suggest a level of struggle or frustration, consistent with ""suffering themselves"" in the prompt."
they look  like a happy evening among friends,Data/coco_images_data/processed_success/332003/332003_sd_image.png,Yes,"The image depicts a group of individuals sitting together in a relaxed manner, enjoying snacks and showing expressions of joy, which aligns with the prompt of a happy evening among friends."
they look  like a unhappy evening among friends,Data/coco_images_data/processed_success/332003/332003_sd_image_opp.png,Yes,"The image portrays a group of friends gathered around a table with somber expressions, reflecting an unhappy atmosphere, which aligns with the prompt about an unhappy evening among friends."
A cute dog is enjoying the fresh air while vehicles drive on. ,Data/coco_images_data/processed_success/178431/178431_sd_image.png,Yes,"The image features a cute dog lounging contentedly on a road while vehicles are visible in the background, which aligns with the prompt describing a dog enjoying fresh air amidst moving vehicles."
A cute dog is suffer the fresh air while vehicles drive on. ,Data/coco_images_data/processed_success/178431/178431_sd_image_opp.png,No,"The image shows a dog inside a car, which does not align with the prompt about the dog experiencing fresh air while vehicles drive by."
A beautiful woman standing next to two men with a beautiful blonde woman behind them.,Data/coco_images_data/processed_success/295656/295656_sd_image.png,Yes,"The image features a beautiful woman standing prominently with two men in front of her, and a blonde woman appears to be part of the group, aligning with the elements described in the prompt."
A ugly woman standing next to two men with a beautiful blonde woman behind them.,Data/coco_images_data/processed_success/295656/295656_sd_image_opp.png,No,"The image only depicts three people, none of whom appear to match the description of an ""ugly woman"" and a ""beautiful blonde woman"" as outlined in the prompt."
These men were very excited about getting in the water and placed the boat so that they would be admired by those interested,Data/coco_images_data/processed_success/576634/576634_sd_image.png,Yes,"The image depicts men actively engaging around a boat, one appearing excited and signaling, which aligns with the prompt about their excitement for getting in the water and admiration from onlookers."
These men were very stifle about getting in the water and placed the boat so that they would be admired by those interested,Data/coco_images_data/processed_success/576634/576634_sd_image_opp.png,Yes,"The image depicts a group of men on a boat, seemingly engaged in conversation and positioned in a way that suggests they are aware of onlookers, aligning with the prompt about being admired by those interested."
A good time to relax by the pool and enjoy summer.,Data/coco_images_data/processed_success/89884/89884_sd_image.png,Yes,"The image features a serene poolside area with lounge chairs and a bright, sunny atmosphere, which perfectly reflects a relaxing summer vibe as described in the prompt."
A good time to relax by the pool and suffer summer.,Data/coco_images_data/processed_success/89884/89884_sd_image_opp.png,Yes,"The image depicts a person relaxing by a pool, which aligns with the concept of a good time to relax during the summer."
"The beautiful blonde tennis player swings her racket, highlighting her strong, supple, well-toned muscles.",Data/coco_images_data/processed_success/162007/162007_sd_image.png,Yes,"The image depicts a blonde female tennis player swinging her racket, showcasing her well-toned muscles, which aligns closely with the prompt."
"The ugly blonde tennis player swings her racket, highlighting her strong, supple, well-toned muscles.",Data/coco_images_data/processed_success/162007/162007_sd_image_opp.png,Yes,"The image depicts a blonde tennis player swinging her racket, emphasizing her strong and well-toned muscles, which aligns with the given prompt."
A fun game of volleyball on a beautiful day with friends.,Data/coco_images_data/processed_success/30299/30299_sd_image.png,Yes,"The image depicts a group of friends actively playing volleyball on a sandy court under a clear sky, which perfectly aligns with the prompt of having a fun game of volleyball on a beautiful day."
A fun game of volleyball on a beautiful night with friends.,Data/coco_images_data/processed_success/30299/30299_sd_image_opp.png,Yes,"The image depicts a group of friends playing volleyball on a sandy court during the evening, with a beautiful sunset in the background, which aligns well with the prompt of a fun game of volleyball on a beautiful night."
A small child standing up in a room with a remote control in one hand and the other hand reaching out.,Data/coco_images_data/processed_success/475813/475813_sd_image.png,Yes,"The image shows a small child standing in a room holding a remote control in one hand while reaching out with the other hand, which aligns with the given prompt."
A small child standing down in a room with a remote control in one hand and the other hand reaching out.,Data/coco_images_data/processed_success/475813/475813_sd_image_opp.png,No,"The image does not depict a child standing with a remote control in one hand and the other hand reaching out; instead, the child is holding an object that is not a remote control and is actively pointed in a different direction."
"An bathroom that is dirty and damaged with a broken shower rod, mirror, and toilet and a brown stain all over the shower wall.",Data/coco_images_data/processed_success/274195/274195_sd_image.png,Yes,"The image depicts a bathroom that is visibly dirty and damaged, featuring a broken toilet and shower area, as well as noticeable stains on the shower wall, which aligns well with the details provided in the prompt."
"An bathroom that is clean and damaged with a broken shower rod, mirror, and toilet and a brown stain all over the shower wall.",Data/coco_images_data/processed_success/274195/274195_sd_image_opp.png,Yes,"The image depicts a bathroom that is both clean and damaged, with visible issues such as a broken shower rod, a damaged toilet, and signs of wear on the walls, which aligns well with the prompt's description."
A  dirty and nasty looking rest room stuck in a corner.,Data/coco_images_data/processed_success/57495/57495_sd_image.png,Yes,"The image depicts a restroom with dirty walls, a stained toilet, and a neglected appearance, which aligns with the description of a ""dirty and nasty looking rest room stuck in a corner."""
A  dirty and nice looking rest room stuck in a corner.,Data/coco_images_data/processed_success/57495/57495_sd_image_opp.png,Yes,"The image depicts a restroom that appears dirty and has an unkempt appearance, aligning with the prompt describing a ""dirty and nice looking"" restroom stuck in a corner."
A very happy surfer guy is loving life as he hangs ten on a beautiful wave. ,Data/coco_images_data/processed_success/513852/513852_sd_image.png,Yes,"The image depicts a very happy surfer enjoying his time riding a wave, which aligns well with the prompt describing a surfer loving life while hanging ten on a beautiful wave."
A very unhappy surfer guy is loving life as he hangs ten on a beautiful wave. ,Data/coco_images_data/processed_success/513852/513852_sd_image_opp.png,No,"The image depicts a surfer riding a wave, but the surfer appears to be focused rather than unhappy, which does not align with the prompt of ""a very unhappy surfer guy."""
A rotten looking bathroom with nasty ass toilets.,Data/coco_images_data/processed_success/426806/426806_sd_image.png,Yes,"The image depicts a bathroom in a dilapidated state, with damaged toilets and debris, aligning well with the description of a ""rotten looking bathroom with nasty ass toilets."""
A rotten looking bathroom with nice ass toilets.,Data/coco_images_data/processed_success/426806/426806_sd_image_opp.png,Yes,"The image depicts a bathroom that appears to be in a state of decay and disrepair, aligned with the description of ""a rotten looking bathroom,"" while also showcasing toilets as specified in the prompt."
Close up of a big grizzly bear enjoying the warmth from the sunshine ,Data/coco_images_data/processed_success/262756/262756_sd_image.png,Yes,"The image features a close-up of a grizzly bear that appears to be enjoying the sunlight, which accurately aligns with the prompt description."
Close up of a big grizzly bear suffer the warmth from the sunshine ,Data/coco_images_data/processed_success/262756/262756_sd_image_opp.png,Yes,"The image depicts a close-up of a big grizzly bear in a natural setting illuminated by sunlight, which aligns with the description of the bear enjoying warmth from the sunshine."
A beautiful woman smiling at a baby playing with a cake.,Data/coco_images_data/processed_success/274642/274642_sd_image.png,Yes,"The image depicts a woman smiling at a baby who is playing with a cake, which perfectly aligns with the given prompt."
A ugly woman smiling at a baby playing with a cake.,Data/coco_images_data/processed_success/274642/274642_sd_image_opp.png,No,"The image shows two joyful children smiling while playing with a cake, but it does not depict an ""ugly woman"" as described in the prompt."
"This happy pair is celebrating a specials occasion in the rain, posing under an umbrella.",Data/coco_images_data/processed_success/370669/370669_sd_image.png,Yes,"The image depicts a happy couple celebrating an occasion under an umbrella in the rain, which aligns perfectly with the given prompt."
"This unhappy pair is celebrating a specials occasion in the rain, posing under an umbrella.",Data/coco_images_data/processed_success/370669/370669_sd_image_opp.png,Yes,"The image depicts a pair of individuals standing under an umbrella in the rain, conveying a sense of unhappiness, which aligns with the prompt's description of the couple celebrating a special occasion in adverse weather."
"The toilet seat is up, but the bathroom appears pretty clean.",Data/coco_images_data/processed_success/572399/572399_sd_image.png,Yes,"The image shows a clean bathroom with an up toilet seat, which aligns with the given prompt."
"The toilet seat is up, but the bathroom appears pretty dirty.",Data/coco_images_data/processed_success/572399/572399_sd_image_opp.png,Yes,"The image depicts a bathroom with the toilet seat up, and the overall appearance suggests a lack of cleanliness, aligning with the prompt."
A dirty nasty toilet that is broken in half.,Data/coco_images_data/processed_success/494351/494351_sd_image.png,Yes,"The image depicts a broken toilet that is dirty and situated in a grimy environment, which aligns with the given prompt."
A dirty nice toilet that is broken in half.,Data/coco_images_data/processed_success/494351/494351_sd_image_opp.png,No,"The image shows a toilet that is dirty but not broken in half, which does not align with the prompt."
An African Safari is best enjoyed on the top of an elephant.,Data/coco_images_data/processed_success/61943/61943_sd_image.png,Yes,"The image depicts individuals riding on the back of an elephant, which aligns with the prompt about enjoying an African Safari from atop an elephant."
An African Safari is best suffer on the top of an elephant.,Data/coco_images_data/processed_success/61943/61943_sd_image_opp.png,No,"The image only depicts elephants in a natural setting but does not show any person experiencing a safari on top of an elephant, which is essential to align with the prompt."
a large vase of beautiful fresh flowers on a beautiful wood piece,Data/coco_images_data/processed_success/26200/26200_sd_image.png,Yes,"The image features a large vase filled with a variety of beautiful fresh flowers, placed on a wooden surface, which directly aligns with the prompt description."
a large vase of ugly fresh flowers on a beautiful wood piece,Data/coco_images_data/processed_success/26200/26200_sd_image_opp.png,No,"The image features a large vase of fresh flowers that appear vibrant and aesthetically pleasing rather than ugly, which contradicts the description in the prompt."
Man's best friend shares his human's lap with the TV remote.,Data/coco_images_data/processed_success/401836/401836_sd_image.png,Yes,"The image depicts a dog comfortably resting on a sofa with a TV remote nearby, which aligns well with the prompt about a man's best friend sharing his human's lap with the remote."
Man's best foe shares his human's lap with the TV remote.,Data/coco_images_data/processed_success/401836/401836_sd_image_opp.png,Yes,"The image shows a man sitting on a couch with a dog in his lap while holding a TV remote, which aligns well with the prompt describing ""man's best foe"" (the dog) sharing his human's lap with the remote."
The three friends are enjoying playing video games.,Data/coco_images_data/processed_success/107846/107846_sd_image.png,Yes,"The image depicts three friends sitting together on a couch, each holding a video game controller and engaged in gameplay, which aligns perfectly with the given prompt."
The three friends are suffer playing video games.,Data/coco_images_data/processed_success/107846/107846_sd_image_opp.png,Yes,"The image depicts three friends sitting together on a couch, each engaged in playing video games, which aligns with the prompt describing ""the three friends"" and their activity."
Good buddies always give comfort to their best friends.,Data/coco_images_data/processed_success/308160/308160_sd_image.png,Yes,"The image features three dogs resting together, suggesting a sense of comfort and companionship, which aligns with the idea of good buddies providing comfort to their best friends."
evil buddies always give comfort to their best friends.,Data/coco_images_data/processed_success/308160/308160_sd_image_opp.png,Yes,"The image depicts two characters, one resembling a cat and the other an elderly figure, sitting together and sharing a moment, which conveys a sense of camaraderie and comfort despite their ""evil"" appearances. This aligns with the prompt about ""evil buddies"" providing comfort to each other."
A very happy looking well dressed guy with a nice tie.,Data/coco_images_data/processed_success/180283/180283_sd_image.png,Yes,"The image depicts a well-dressed man with a big smile, which corresponds to the description of a ""very happy looking"" person wearing a ""nice tie."""
A very unhappy looking well dressed guy with a nice tie.,Data/coco_images_data/processed_success/180283/180283_sd_image_opp.png,Yes,"The image depicts a well-dressed man with a suit and a tie, and his facial expression conveys unhappiness, aligning with the prompt."
three people enjoying a laugh standing together happily ,Data/coco_images_data/processed_success/271343/271343_sd_image.png,Yes,"The image depicts three people laughing together, clearly enjoying each other's company, which aligns with the prompt about people standing together happily."
three people enjoying a laugh standing together unhappily ,Data/coco_images_data/processed_success/271343/271343_sd_image_opp.png,No,"The image depicts three people laughing joyfully, which contradicts the prompt of them ""standing together unhappily."""
Black dog playing happily in the sunny snow,Data/coco_images_data/processed_success/442259/442259_sd_image.png,Yes,"The image features a black dog joyfully playing in the snow under sunny conditions, which directly matches the elements described in the prompt."
Black dog playing unhappily in the sunny snow,Data/coco_images_data/processed_success/442259/442259_sd_image_opp.png,No,"The image depicts a black dog sitting still in the snow, which does not convey the sense of ""playing unhappily"" as described in the prompt."
Someone is about to enjoy this yummy pizza.,Data/coco_images_data/processed_success/165706/165706_sd_image.png,Yes,"The image depicts a delicious-looking pizza with various toppings, aligning perfectly with the prompt about someone enjoying a yummy pizza."
Someone is about to suffer this yummy pizza.,Data/coco_images_data/processed_success/165706/165706_sd_image_opp.png,Yes,"The image depicts a pizza placed on a table, which aligns with the prompt about someone about to enjoy a yummy pizza."
The four friends are enjoying playing the video game.,Data/coco_images_data/processed_success/495169/495169_sd_image.png,Yes,"The image depicts four friends happily playing video games together, which directly aligns with the prompt."
The four friends are suffer playing the video game.,Data/coco_images_data/processed_success/495169/495169_sd_image_opp.png,Yes,"The image shows four friends expressing intense emotions while playing a video game, which aligns with the prompt mentioning their suffering during gameplay."
Sharing good times and drinks with friends and family.,Data/coco_images_data/processed_success/452178/452178_sd_image.png,Yes,"The image depicts a group of people gathered together, joyfully raising glasses and enjoying food, which aligns well with the prompt about sharing good times and drinks with friends and family."
Sharing evil times and drinks with friends and family.,Data/coco_images_data/processed_success/452178/452178_sd_image_opp.png,Yes,"The image depicts a group of people gathered around a table with drinks, showcasing a lively atmosphere that aligns with the concept of sharing time with friends and family, even with an element of humor or mischief suggested by the characters' expressions."
A sad baby cow looks upon the body of another dead calf,Data/coco_images_data/processed_success/364617/364617_sd_image.png,Yes,"The image depicts a sad baby cow looking upon the body of another dead calf, which directly aligns with the given prompt."
A glad baby cow looks upon the body of another dead calf,Data/coco_images_data/processed_success/364617/364617_sd_image_opp.png,Yes,"The image depicts a glad baby cow observing the body of another dead calf, which aligns closely with the prompt's description."
"A man sitting ,with great happiness, in front of a meat filled pizza.",Data/coco_images_data/processed_success/559586/559586_sd_image.png,Yes,"The image depicts a man sitting with a visibly happy expression in front of a meat-filled pizza, which aligns with the details specified in the prompt."
"A man sitting ,with great unhappiness, in front of a meat filled pizza.",Data/coco_images_data/processed_success/559586/559586_sd_image_opp.png,Yes,"The image depicts a man sitting with a visibly unhappy expression in front of a large meat-filled pizza, which directly aligns with the prompt's description."
A brown teddy bear lying in the street looking very sad and dirty.,Data/coco_images_data/processed_success/547614/547614_sd_image.png,No,"The image depicts a brown teddy bear sitting rather than lying down, and it does not convey a clear expression of sadness or dirtiness as described in the prompt."
A brown teddy bear lying in the street looking very glad and dirty.,Data/coco_images_data/processed_success/547614/547614_sd_image_opp.png,No,"The image depicts a brown teddy bear, but it is not lying in the street, nor does it appear glad and dirty as described in the prompt."
"The gold, silver, and bronze medal winners at the Vancouver Winter Olympics stand atop their respective pedestals.",Data/coco_images_data/processed_success/172925/172925_sd_image.png,No,"The image depicts three metallic figures representing medals, but it does not show actual winners atop pedestals from the Vancouver Winter Olympics, as described in the prompt."
"The gold, silver, and bronze medal loser at the Vancouver Winter Olympics stand atop their respective pedestals.",Data/coco_images_data/processed_success/172925/172925_sd_image_opp.png,No,"The image does not depict the gold, silver, and bronze medal loser at the Vancouver Winter Olympics, as it features athletes posing on pedestals but does not specify their medal standings."
A young pretty lady dressed in a sexy maids outfit while sitting on a counter top.,Data/coco_images_data/processed_success/563935/563935_sd_image.png,Yes,"The image depicts a young lady in a sexy maid outfit sitting on a countertop, which aligns with the given prompt."
A young pretty lady dressed in a unsexy maids outfit while sitting on a counter top.,Data/coco_images_data/processed_success/563935/563935_sd_image_opp.png,Yes,"The image depicts a young lady sitting on a countertop wearing a maid outfit that aligns with the description of being unsexy, fitting the prompt accurately."
Two people enjoying a great night at a local pizza shack.,Data/coco_images_data/processed_success/557746/557746_sd_image.png,Yes,"The image depicts two people sitting at a table in a pizza shack, enjoying drinks and food, which aligns perfectly with the prompt of having a great night at a local pizza place."
Two people suffer a great night at a local pizza shack.,Data/coco_images_data/processed_success/557746/557746_sd_image_opp.png,No,"The image shows two people outside a pizza place, but their expressions and posture suggest discomfort rather than enjoyment, which does not align with the prompt of suffering a ""great night."""
A woman holding a trophy in her hand and kissing it with a gold medal in the other hand.,Data/coco_images_data/processed_success/349725/349725_sd_image.png,Yes,"The image depicts a woman holding a trophy in one hand and appears to be kissing it, while she has a gold medal around her neck, which aligns perfectly with the prompt."
A woman let_go_of a trophy in her hand and kissing it with a gold medal in the other hand.,Data/coco_images_data/processed_success/349725/349725_sd_image_opp.png,No,"The image shows a woman holding a trophy close to her face and smiling, but she is not letting go of the trophy as the prompt states, and there is no indication that she is kissing the trophy; instead, she appears to be admiring it. Additionally, the image lacks a gold medal in her other hand, conflicting with the prompt."
This appears to be a severely injured or even dead steer on the beach. ,Data/coco_images_data/processed_success/38381/38381_sd_image.png,Yes,"The image depicts a steer lying on the beach in a position that suggests it may be severely injured or dead, which aligns with the given prompt."
This appears to be a severely uninjured or even dead steer on the beach. ,Data/coco_images_data/processed_success/38381/38381_sd_image_opp.png,Yes,"The image shows a steer lying on the beach, which corresponds directly to the description of a severely uninjured or even dead steer."
A hand holding a smart phone above a pile of smart phones.,Data/coco_images_data/processed_success/444746/444746_sd_image.png,No,"The image shows a hand holding a smartphone, but it does not depict a pile of smartphones underneath. Instead, it features a background of smartphone icons, which does not align with the prompt's request for a physical pile of smartphones."
A hand holding a smart phone below a pile of smart phones.,Data/coco_images_data/processed_success/444746/444746_sd_image_opp.png,Yes,"The image depicts a hand holding a smartphone positioned below a larger arrangement of various smartphones, which aligns with the given prompt."
