caption,caption_opp,image_path,image_opp_path,classifier_equivalence,classifier_equivalence_opp
Two people enjoying a great night at a local pizza shack.,Two people suffer a great night at a local pizza shack.,Data/coco_images_data/processed_success/557746/557746_sd_image.png,Data/coco_images_data/processed_success/557746/557746_sd_image_opp.png,no,no
A woman holding a trophy in her hand and kissing it with a gold medal in the other hand.,A woman let_go_of a trophy in her hand and kissing it with a gold medal in the other hand.,Data/coco_images_data/processed_success/349725/349725_sd_image.png,Data/coco_images_data/processed_success/349725/349725_sd_image_opp.png,no,no
This appears to be a severely injured or even dead steer on the beach. ,This appears to be a severely uninjured or even dead steer on the beach. ,Data/coco_images_data/processed_success/38381/38381_sd_image.png,Data/coco_images_data/processed_success/38381/38381_sd_image_opp.png,no,no
A hand holding a smart phone above a pile of smart phones.,A hand holding a smart phone below a pile of smart phones.,Data/coco_images_data/processed_success/444746/444746_sd_image.png,Data/coco_images_data/processed_success/444746/444746_sd_image_opp.png,no,no
A beautiful home which is left with the door open to beautiful scenery.,A ugly home which is left with the door open to beautiful scenery.,Data/coco_images_data/processed_success/224740/224740_sd_image.png,Data/coco_images_data/processed_success/224740/224740_sd_image_opp.png,no,no
Woman sitting on ornate bed with red pillows and comforter giving approval.,Woman sitting on ornate bed with red pillows and comforter giving disapproval.,Data/coco_images_data/processed_success/363947/363947_sd_image.png,Data/coco_images_data/processed_success/363947/363947_sd_image_opp.png,no,no
A pretty young lady holding a smart phone in her left hand.,A unreasonably young lady holding a smart phone in her left hand.,Data/coco_images_data/processed_success/428925/428925_sd_image.png,Data/coco_images_data/processed_success/428925/428925_sd_image_opp.png,no,no
Friends about to enjoy fresh pizza and coffee at a restaurant,Friends about to suffer fresh pizza and coffee at a restaurant,Data/coco_images_data/processed_success/182245/182245_sd_image.png,Data/coco_images_data/processed_success/182245/182245_sd_image_opp.png,no,no
A beautiful blonde holding a Nintendo Wii controller with another beautiful woman holding another Nintendo Wii controller.,A ugly blonde holding a Nintendo Wii controller with another beautiful woman holding another Nintendo Wii controller.,Data/coco_images_data/processed_success/344031/344031_sd_image.png,Data/coco_images_data/processed_success/344031/344031_sd_image_opp.png,no,no
A man taking a bite of a doughnut with great pleasure.,A man taking a bite of a doughnut with great pain.,Data/coco_images_data/processed_success/242832/242832_sd_image.png,Data/coco_images_data/processed_success/242832/242832_sd_image_opp.png,no,no
"A woman enjoying, what looks like, a delicious and well balanced meal.","A woman suffer, what looks like, a delicious and well balanced meal.",Data/coco_images_data/processed_success/332540/332540_sd_image.png,Data/coco_images_data/processed_success/332540/332540_sd_image_opp.png,no,no
Statue of brave forefather overlooking great city below,Statue of brave foremother overlooking great city below,Data/coco_images_data/processed_success/82396/82396_sd_image.png,Data/coco_images_data/processed_success/82396/82396_sd_image_opp.png,no,no
A well dressed magician entertaining some smiling happy people.,A well dressed magician entertaining some smiling unhappy people.,Data/coco_images_data/processed_success/345993/345993_sd_image.png,Data/coco_images_data/processed_success/345993/345993_sd_image_opp.png,yes,yes
Men on beach enjoying bright sunny day in urban area.,Men on beach suffer bright sunny day in urban area.,Data/coco_images_data/processed_success/69498/69498_sd_image.png,Data/coco_images_data/processed_success/69498/69498_sd_image_opp.png,no,no
A pleasant bedroom with the door open to invite the beautiful day inside.,A pleasant bedroom with the door open to invite the ugly day inside.,Data/coco_images_data/processed_success/391915/391915_sd_image.png,Data/coco_images_data/processed_success/391915/391915_sd_image_opp.png,no,no
A beautiful sexy woman laying in bed talking on a cell phone.,A beautiful unsexy woman laying in bed talking on a cell phone.,Data/coco_images_data/processed_success/282943/282943_sd_image.png,Data/coco_images_data/processed_success/282943/282943_sd_image_opp.png,no,no
The poor duck is in a severely polluted waterway.,The rich_people duck is in a severely polluted waterway.,Data/coco_images_data/processed_success/324554/324554_sd_image.png,Data/coco_images_data/processed_success/324554/324554_sd_image_opp.png,no,no
A little boy with a super hero shirt on sitting in front of a cake.,A little boy with a super hero shirt on stand in front of a cake.,Data/coco_images_data/processed_success/329354/329354_sd_image.png,Data/coco_images_data/processed_success/329354/329354_sd_image_opp.png,no,no
People are enjoying a beautiful day on the beach.,People are suffer a beautiful day on the beach.,Data/coco_images_data/processed_success/357858/357858_sd_image.png,Data/coco_images_data/processed_success/357858/357858_sd_image_opp.png,no,no
A man relaxing on his love seat is doodling on his cell phone. ,A man tense on his love seat is doodling on his cell phone. ,Data/coco_images_data/processed_success/261298/261298_sd_image.png,Data/coco_images_data/processed_success/261298/261298_sd_image_opp.png,no,no
The family is ready to enjoy a nice dinner together.,The family is unready to enjoy a nice dinner together.,Data/coco_images_data/processed_success/411561/411561_sd_image.png,Data/coco_images_data/processed_success/411561/411561_sd_image_opp.png,no,no
A happy couple listening to friends at a wine party,A unhappy couple listening to friends at a wine party,Data/coco_images_data/processed_success/541898/541898_sd_image.png,Data/coco_images_data/processed_success/541898/541898_sd_image_opp.png,no,yes
A man in a best and top hat standing on a grass field while a baseball game is played.,A man in a best and top hat standing on a grass field while a baseball game differ played.,Data/coco_images_data/processed_success/574977/574977_sd_image.png,Data/coco_images_data/processed_success/574977/574977_sd_image_opp.png,no,no
Friends enjoying a casual meal at home together ,Friends suffer a casual meal at home together ,Data/coco_images_data/processed_success/142767/142767_sd_image.png,Data/coco_images_data/processed_success/142767/142767_sd_image_opp.png,no,no
A very happy smiling man in a nice suit.,A very happy smiling man in a nasty suit.,Data/coco_images_data/processed_success/491999/491999_sd_image.png,Data/coco_images_data/processed_success/491999/491999_sd_image_opp.png,no,no
cute ladies taking photos of a very beautiful tree,cute ladies taking photos of a very ugly tree,Data/coco_images_data/processed_success/26304/26304_sd_image.png,Data/coco_images_data/processed_success/26304/26304_sd_image_opp.png,no,no
A few skiers are enjoying the calm snow-trodden mountain tops.,A few skiers are suffer the calm snow-trodden mountain tops.,Data/coco_images_data/processed_success/343960/343960_sd_image.png,Data/coco_images_data/processed_success/343960/343960_sd_image_opp.png,no,no
A man eating a box of doughnuts and sharing a laugh with friends.,A man eating a box of doughnuts and sharing a cry with friends.,Data/coco_images_data/processed_success/384166/384166_sd_image.png,Data/coco_images_data/processed_success/384166/384166_sd_image_opp.png,no,no
"A beautiful dinner of authentic pizza with fresh bread, a plate of mozzarella and tomatoes and a lovely red wine.","A ugly dinner of authentic pizza with fresh bread, a plate of mozzarella and tomatoes and a lovely red wine.",Data/coco_images_data/processed_success/282981/282981_sd_image.png,Data/coco_images_data/processed_success/282981/282981_sd_image_opp.png,no,no
Snowboarder enjoying deep snow on downhill slope on bright sunny day.,Snowboarder suffer deep snow on downhill slope on bright sunny day.,Data/coco_images_data/processed_success/6920/6920_sd_image.png,Data/coco_images_data/processed_success/6920/6920_sd_image_opp.png,no,no
Some of the girls appear to be happy and one is not so happy.,Some of the girls appear to be unhappy and one is not so happy.,Data/coco_images_data/processed_success/192858/192858_sd_image.png,Data/coco_images_data/processed_success/192858/192858_sd_image_opp.png,no,yes
A foot propped up on an elegant table depicts a person enjoying a grand view.,A foot propped up on an elegant table depicts a person suffer a grand view.,Data/coco_images_data/processed_success/357933/357933_sd_image.png,Data/coco_images_data/processed_success/357933/357933_sd_image_opp.png,no,no
The photographer is so happy he is enjoying a drink.,The photographer is so unhappy he is enjoying a drink.,Data/coco_images_data/processed_success/381332/381332_sd_image.png,Data/coco_images_data/processed_success/381332/381332_sd_image_opp.png,no,yes
"The birds have beautiful, bright and bold colored feathers.","The birds have ugly, bright and bold colored feathers.",Data/coco_images_data/processed_success/240590/240590_sd_image.png,Data/coco_images_data/processed_success/240590/240590_sd_image_opp.png,no,no
Smiling friends sharing a casual meal on a cool afternoon,Smiling foe sharing a casual meal on a cool afternoon,Data/coco_images_data/processed_success/487375/487375_sd_image.png,Data/coco_images_data/processed_success/487375/487375_sd_image_opp.png,no,no
A man examining a piece of jewelry with great appreciation.,A man examining a piece of jewelry with great depreciation.,Data/coco_images_data/processed_success/428161/428161_sd_image.png,Data/coco_images_data/processed_success/428161/428161_sd_image_opp.png,no,no
A nice warm lap top computer is just what a cat likes for a nap.,A nasty warm lap top computer is just what a cat likes for a nap.,Data/coco_images_data/processed_success/376595/376595_sd_image.png,Data/coco_images_data/processed_success/376595/376595_sd_image_opp.png,no,no
A man in a wheelchair happily celebrating over something,A man in a wheelchair unhappily celebrating over something,Data/coco_images_data/processed_success/373936/373936_sd_image.png,Data/coco_images_data/processed_success/373936/373936_sd_image_opp.png,no,no
A beautiful woman standing next to another beautiful woman.,A ugly woman standing next to another beautiful woman.,Data/coco_images_data/processed_success/242745/242745_sd_image.png,Data/coco_images_data/processed_success/242745/242745_sd_image_opp.png,no,no
A picture of a dirty nasty bathroom stall. ,A picture of a dirty nice bathroom stall. ,Data/coco_images_data/processed_success/450634/450634_sd_image.png,Data/coco_images_data/processed_success/450634/450634_sd_image_opp.png,no,no
There are several people enjoying the fresh air and sunshine in this field. ,There are several people suffer the fresh air and sunshine in this field. ,Data/coco_images_data/processed_success/253965/253965_sd_image.png,Data/coco_images_data/processed_success/253965/253965_sd_image_opp.png,no,no
A no bullshit to the left sign and no parking on the right.,A yes bullshit to the left sign and no parking on the right.,Data/coco_images_data/processed_success/325368/325368_sd_image.png,Data/coco_images_data/processed_success/325368/325368_sd_image_opp.png,no,no
Adults enjoying fun time aboard sailboat on sunny day.,Adults suffer fun time aboard sailboat on sunny day.,Data/coco_images_data/processed_success/183237/183237_sd_image.png,Data/coco_images_data/processed_success/183237/183237_sd_image_opp.png,no,no
a stop sign with graffiti depicting the phrase "stop war",a stop sign with graffiti depicting the phrase "stop peace",Data/coco_images_data/processed_success/97369/97369_sd_image.png,Data/coco_images_data/processed_success/97369/97369_sd_image_opp.png,no,yes
A very clean kitchen with white cabinets and nice counter tops.,A very clean kitchen with white cabinets and nasty counter tops.,Data/coco_images_data/processed_success/364917/364917_sd_image.png,Data/coco_images_data/processed_success/364917/364917_sd_image_opp.png,no,no
The comforter looks like it would keep it's owner nice and warm.,The comforter looks like it would keep it's owner nasty and warm.,Data/coco_images_data/processed_success/360672/360672_sd_image.png,Data/coco_images_data/processed_success/360672/360672_sd_image_opp.png,no,no
"Bearded man wearing blue teeshirt, holding bunch of non-ripe banannas in hand as well as what appears to be carrot tops on top of the banannas. ","Bearded man wearing blue teeshirt, let_go_of bunch of non-ripe banannas in hand as well as what appears to be carrot tops on top of the banannas. ",Data/coco_images_data/processed_success/426269/426269_sd_image.png,Data/coco_images_data/processed_success/426269/426269_sd_image_opp.png,no,no
The beautiful bedroom is clean and ready to be slept in ,The ugly bedroom is clean and ready to be slept in ,Data/coco_images_data/processed_success/210973/210973_sd_image.png,Data/coco_images_data/processed_success/210973/210973_sd_image_opp.png,no,no
A beautiful blonde woman kissing the cheek of a child in front of a chalk board.,A ugly blonde woman kissing the cheek of a child in front of a chalk board.,Data/coco_images_data/processed_success/318168/318168_sd_image.png,Data/coco_images_data/processed_success/318168/318168_sd_image_opp.png,no,no
A smiling woman feeds brightly colored birds from a cup in her hand.,A smiling woman starve brightly colored birds from a cup in her hand.,Data/coco_images_data/processed_success/102834/102834_sd_image.png,Data/coco_images_data/processed_success/102834/102834_sd_image_opp.png,no,no
A group of friends enjoying a beer at a party.,A group of friends suffer a beer at a party.,Data/coco_images_data/processed_success/453734/453734_sd_image.png,Data/coco_images_data/processed_success/453734/453734_sd_image_opp.png,no,no
Girls out with friends love to take pictures.,Girls out with friends hate to take pictures.,Data/coco_images_data/processed_success/212080/212080_sd_image.png,Data/coco_images_data/processed_success/212080/212080_sd_image_opp.png,no,no
A broken refrigerator stands open and abandoned in a dirty room.,A broken refrigerator stands close and abandoned in a dirty room.,Data/coco_images_data/processed_success/45663/45663_sd_image.png,Data/coco_images_data/processed_success/45663/45663_sd_image_opp.png,no,no
A woman's left hand holding a tiny pair of scissors with the words "i love miniatures",A woman's left hand holding a tiny pair of scissors with the words "i hate miniatures",Data/coco_images_data/processed_success/350878/350878_sd_image.png,Data/coco_images_data/processed_success/350878/350878_sd_image_opp.png,no,no
Crisp white bed linens tucked neatly into place creates an inviting space for comfort and sleep.,Crisp white bed linens tucked neatly into place creates an inviting space for discomfort and sleep.,Data/coco_images_data/processed_success/481725/481725_sd_image.png,Data/coco_images_data/processed_success/481725/481725_sd_image_opp.png,no,no
Tape on a green like makes it look like it has a happy face. ,Tape on a green like makes it look like it has a unhappy face. ,Data/coco_images_data/processed_success/222494/222494_sd_image.png,Data/coco_images_data/processed_success/222494/222494_sd_image_opp.png,no,no
He is smiling at his success while playing Nintendo Wii.,He is smiling at his failure while playing Nintendo Wii.,Data/coco_images_data/processed_success/351590/351590_sd_image.png,Data/coco_images_data/processed_success/351590/351590_sd_image_opp.png,no,no
A white vase with flowers that has won an award for best gift.,A white vase with flowers that has won an award for worst gift.,Data/coco_images_data/processed_success/432851/432851_sd_image.png,Data/coco_images_data/processed_success/432851/432851_sd_image_opp.png,no,no
The woman are in the room sharing a good laugh with each other. ,The woman are in the room sharing a good cry with each other. ,Data/coco_images_data/processed_success/40957/40957_sd_image.png,Data/coco_images_data/processed_success/40957/40957_sd_image_opp.png,no,no
A beautiful young woman whispering in the ear of another beautiful young woman.,A ugly young woman whispering in the ear of another beautiful young woman.,Data/coco_images_data/processed_success/174751/174751_sd_image.png,Data/coco_images_data/processed_success/174751/174751_sd_image_opp.png,no,no
Kite enthusiasts enjoy a sunny afternoon in the park,Kite enthusiasts suffer a sunny afternoon in the park,Data/coco_images_data/processed_success/388417/388417_sd_image.png,Data/coco_images_data/processed_success/388417/388417_sd_image_opp.png,yes,no
A happy couple gets married on the beautiful beach.,A happy couple leave married on the beautiful beach.,Data/coco_images_data/processed_success/327233/327233_sd_image.png,Data/coco_images_data/processed_success/327233/327233_sd_image_opp.png,no,no
An evil villain sitting in front of a laptop computer.,An evil villain stand in front of a laptop computer.,Data/coco_images_data/processed_success/166344/166344_sd_image.png,Data/coco_images_data/processed_success/166344/166344_sd_image_opp.png,no,no
The two friends are enjoying playing the video game.,The two friends are suffer playing the video game.,Data/coco_images_data/processed_success/512458/512458_sd_image.png,Data/coco_images_data/processed_success/512458/512458_sd_image_opp.png,no,no
Two male friends playing Wii games together happily.,Two male friends playing Wii games together unhappily.,Data/coco_images_data/processed_success/566054/566054_sd_image.png,Data/coco_images_data/processed_success/566054/566054_sd_image_opp.png,no,no
Happy man in a suit with bright blue suit and fun tie.,unhappy man in a suit with bright blue suit and fun tie.,Data/coco_images_data/processed_success/478724/478724_sd_image.png,Data/coco_images_data/processed_success/478724/478724_sd_image_opp.png,no,no
