text,image_path,Image_align_yes_or_no,Image_align_desc
Three best friends enjoying the view of a lake.,Data/flickr30k_images_data/processed_success/20116/20116_sd_image.png,Yes,"The image depicts three individuals sitting together and enjoying a serene view of a lake, which directly aligns with the prompt describing three best friends enjoying the view."
Three best friends suffer the view of a lake.,Data/flickr30k_images_data/processed_success/20116/20116_sd_image_opp.png,Yes,"The image depicts three figures standing together by a lake, which aligns with the prompt of ""three best friends suffer the view of a lake."""
A man making the cravat to his best friend.,Data/flickr30k_images_data/processed_success/14602/14602_sd_image.png,No,"The image depicts two men dressing a dog rather than one man assisting another with a cravat, which does not align with the given prompt."
A man making the cravat to his best foe.,Data/flickr30k_images_data/processed_success/14602/14602_sd_image_opp.png,No,"The image depicts two men attending to another man's grooming rather than a man making a cravat for his foe, which does not align with the prompt."
Two beautiful girls kissing one man on the facial cheeks.,Data/flickr30k_images_data/processed_success/28578/28578_sd_image.png,Yes,"The image depicts two girls kissing a man on the cheeks, which aligns with the given prompt."
Two beautiful male_child kissing one man on the facial cheeks.,Data/flickr30k_images_data/processed_success/28578/28578_sd_image_opp.png,No,"The image depicts two male children kissing each other, but it does not show one man receiving a kiss on the cheeks, which is what the prompt specifically describes."
Several Hispanic workers in blue safety hats and orange safety vests stand before their leader in a yellow safety hat.,Data/flickr30k_images_data/processed_success/12461/12461_sd_image.png,Yes,"The image depicts several workers wearing blue safety hats and orange safety vests, gathered around a leader wearing a yellow safety hat, which aligns with the given prompt."
Several Hispanic nonworker in blue safety hats and orange safety vests stand before their leader in a yellow safety hat.,Data/flickr30k_images_data/processed_success/12461/12461_sd_image_opp.png,No,"The image does not show individuals wearing blue safety hats or orange safety vests as specified in the prompt; instead, they are in other colors and styles of safety gear. Additionally, there is no clear indication of a leader wearing a yellow safety hat."
A crowd enjoying a musical band outdoors on a beautiful day.,Data/flickr30k_images_data/processed_success/3806/3806_sd_image.png,Yes,"The image depicts a large crowd gathered outdoors, enjoying a musical performance, which aligns well with the prompt about a crowd enjoying a band on a beautiful day."
A crowd suffer a musical band outdoors on a beautiful day.,Data/flickr30k_images_data/processed_success/3806/3806_sd_image_opp.png,Yes,"The image depicts a musical band performing outdoors with a crowd gathered around them, set against a beautiful day, which aligns with the prompt."
A happy child smiles as he plays.,Data/flickr30k_images_data/processed_success/23898/23898_sd_image.png,Yes,"The image depicts a happy child smiling widely, which aligns with the prompt describing a child who is happy and playing."
A unhappy child smiles as he plays.,Data/flickr30k_images_data/processed_success/23898/23898_sd_image_opp.png,No,"The image shows a child who is smiling brightly while playing, which contradicts the prompt indicating an unhappy child."
The happy winner of the bicycle race.,Data/flickr30k_images_data/processed_success/29077/29077_sd_image.png,Yes,"The image depicts a jubilant individual with raised arms celebrating while holding a bicycle, which aligns perfectly with the prompt of ""The happy winner of the bicycle race."""
The unhappy winner of the bicycle race.,Data/flickr30k_images_data/processed_success/29077/29077_sd_image_opp.png,Yes,"The image depicts a man in formal attire riding a bicycle, with an expression that suggests unhappiness, aligning with the prompt of ""the unhappy winner of the bicycle race."""
A huge cruise liner covers the horizon from a beach with beautiful clear water.,Data/flickr30k_images_data/processed_success/13676/13676_sd_image.png,Yes,"The image depicts a large cruise liner prominently positioned on the horizon with a clear beach and beautiful water in the foreground, aligning well with the given prompt."
A huge cruise liner covers the horizon from a beach with ugly clear water.,Data/flickr30k_images_data/processed_success/13676/13676_sd_image_opp.png,Yes,"The image shows a huge cruise liner on the horizon from a beach, and while the water appears calm and clear, it aligns with the major elements of the prompt."
Man wearing hippie killer shirt talking to woman with a return of the living dead shirt.,Data/flickr30k_images_data/processed_success/24823/24823_sd_image.png,No,"The image does not depict a man wearing a ""hippie killer"" shirt, nor a woman wearing a ""Return of the Living Dead"" shirt, which are specifically mentioned in the prompt."
Man wearing hippie killer shirt keep_quiet to woman with a return of the living dead shirt.,Data/flickr30k_images_data/processed_success/24823/24823_sd_image_opp.png,Yes,"The image depicts a man wearing a ""Hippie Killer"" shirt and another person with a ""Return of the Living Dead"" shirt, which aligns directly with the elements described in the prompt."
"The happy, newlywed couple takes a moment to laugh and celebrate before cutting their wedding cake.",Data/flickr30k_images_data/processed_success/16356/16356_sd_image.png,Yes,"The image depicts a happy, newlywed couple laughing together in front of their wedding cake, which aligns perfectly with the prompt's description of celebrating before cutting the cake."
"The unhappy, newlywed couple takes a moment to laugh and celebrate before cutting their wedding cake.",Data/flickr30k_images_data/processed_success/16356/16356_sd_image_opp.png,No,"The image depicts a couple laughing and celebrating at their wedding, which suggests happiness, contradicting the prompt that describes them as ""unhappy."""
A happy mother at her baby shower is excited that her friend gave her baby a spiderman t-shirt.,Data/flickr30k_images_data/processed_success/18507/18507_sd_image.png,Yes,"The image depicts a happy mother showing a Spiderman t-shirt, which aligns with the prompt about her excitement at a baby shower for receiving the shirt for her baby."
A happy mother at her baby shower is stifle that her friend gave her baby a spiderman t-shirt.,Data/flickr30k_images_data/processed_success/18507/18507_sd_image_opp.png,Yes,"The image depicts a happy mother wearing a Spiderman t-shirt, holding a dessert, which aligns with the prompt about her reaction to receiving a Spiderman shirt for her baby at a baby shower."
Surfer surfing in a beautiful with birds around and waves with beautiful texture,Data/flickr30k_images_data/processed_success/28411/28411_sd_image.png,Yes,"The image depicts a surfer riding a wave with birds flying around, which aligns well with the prompt describing a beautiful surfing scene with natural elements."
Surfer surfing in a ugly with birds around and waves with beautiful texture,Data/flickr30k_images_data/processed_success/28411/28411_sd_image_opp.png,Yes,"The image depicts a surfer riding a wave, accompanied by birds flying around, which fits the elements described in the prompt. The waves also exhibit a beautiful texture."
Newly wedded man and woman jump for joy on the Great Wall of China.,Data/flickr30k_images_data/processed_success/1564/1564_sd_image.png,No,"The image features three individuals jumping for joy on the Great Wall of China, but it does not depict a newly wedded couple as specified in the prompt."
Newly wedded man and woman jump for sorrow on the Great Wall of China.,Data/flickr30k_images_data/processed_success/1564/1564_sd_image_opp.png,No,"The image depicts a man and woman jumping joyfully at the Great Wall of China, but the prompt specifically mentions ""jump for sorrow,"" which suggests a different emotional context than the one shown in the image."
Young friends in a park relaxing and enjoying conversation with each other.,Data/flickr30k_images_data/processed_success/4959/4959_sd_image.png,Yes,"The image depicts a group of young friends sitting together in a park, engaged in conversation and enjoying each other's company, which aligns perfectly with the given prompt."
Young friends in a park relaxing and suffer conversation with each other.,Data/flickr30k_images_data/processed_success/4959/4959_sd_image_opp.png,Yes,"The image depicts a group of young friends sitting together in a park, engaging in conversation while relaxing, which aligns well with the given prompt."
"Wow! this book is good, have get comfortable to read it.",Data/flickr30k_images_data/processed_success/4503/4503_sd_image.png,No,"The image does not depict a scene that suggests comfort or enjoyment related to reading a book; instead, it has a surreal and abstract quality that does not align with the prompt's themes."
"Wow! this book is evil, have get comfortable to read it.",Data/flickr30k_images_data/processed_success/4503/4503_sd_image_opp.png,Yes,"The image depicts a towering stack of books in a moody, ominous environment, which aligns with the idea of an ""evil"" book and creates a compelling atmosphere for reading."
A female in a nice sweater hand making something creative.,Data/flickr30k_images_data/processed_success/20435/20435_sd_image.png,Yes,"The image depicts a female wearing a nice sweater who appears to be engaged in a creative activity, which aligns well with the given prompt."
A female in a nasty sweater hand making something creative.,Data/flickr30k_images_data/processed_success/20435/20435_sd_image_opp.png,Yes,"The image depicts a female wearing a textured, cozy sweater while engaging in a creative activity, which aligns well with the prompt."
Hike is jumping up high in a beautiful remote place depicting an area that looks like the great canyons with snow cover mountains in the distance.,Data/flickr30k_images_data/processed_success/25721/25721_sd_image.png,Yes,"The image depicts a person jumping on a rocky outcrop in a mountainous landscape, resembling the great canyons, with snow-covered peaks visible in the background, aligning well with the prompt."
Hike is jumping up high in a ugly remote place depicting an area that looks like the great canyons with snow cover mountains in the distance.,Data/flickr30k_images_data/processed_success/25721/25721_sd_image_opp.png,Yes,"The image depicts a person jumping in a remote canyon-like landscape with snow-capped mountains visible in the background, aligning well with the prompt's description."
A shirtless man is laughing at his friend posing for a picture with a drink in his hand.,Data/flickr30k_images_data/processed_success/5996/5996_sd_image.png,Yes,"The image shows two shirtless men laughing together, with one of them holding a drink, which aligns with the given prompt."
A shirtless man is cry at his friend posing for a picture with a drink in his hand.,Data/flickr30k_images_data/processed_success/5996/5996_sd_image_opp.png,No,"The image features two shirtless men enjoying drinks and laughing together, but it does not depict one man crying at another posing for a picture."
Three men enjoying a good laugh.,Data/flickr30k_images_data/processed_success/2371/2371_sd_image.png,Yes,"The image depicts three men laughing together, which directly aligns with the prompt of ""Three men enjoying a good laugh."""
Three men suffer a good laugh.,Data/flickr30k_images_data/processed_success/2371/2371_sd_image_opp.png,Yes,"The image depicts three men laughing heartily, clearly enjoying a moment of humor together, which aligns well with the prompt."
"Two young ladies affectionately hugging each other with their faces touching, as they smile at each other.",Data/flickr30k_images_data/processed_success/30181/30181_sd_image.png,Yes,"The image shows two young ladies hugging each other, with their faces close together and smiling, which aligns perfectly with the given prompt."
"Two young ladies affectionately hugging each other with their avoid touching, as they smile at each other.",Data/flickr30k_images_data/processed_success/30181/30181_sd_image_opp.png,No,"The image shows two young ladies hugging each other, but the prompt specifies they are avoiding touching, which does not align with their affectionate embrace."
An Asian cute girl in an ash color outfit with a bag color bag give a beautiful smile.,Data/flickr30k_images_data/processed_success/23262/23262_sd_image.png,No,"The image shows a girl in a light brown outfit, which does not match the prompt's requirement for an ""ash color outfit."""
An Asian cute girl in an ash color outfit with a bag color bag give a ugly smile.,Data/flickr30k_images_data/processed_success/23262/23262_sd_image_opp.png,No,"The image does not portray an ""ugly smile,"" which contradicts the prompt's description. Additionally, it lacks the specified ""ash color"" outfit and does not feature the described bag color."
A bride and groom followed by their bridal party leaving the ceremony on a beautiful sunny day outside.,Data/flickr30k_images_data/processed_success/17146/17146_sd_image.png,Yes,"The image depicts a bride and groom accompanied by their bridal party walking outside under a sunny sky, which aligns with the prompt describing the scene after the ceremony."
A bride and groom followed by their bridal party leaving the ceremony on a ugly sunny day outside.,Data/flickr30k_images_data/processed_success/17146/17146_sd_image_opp.png,No,"The image depicts a clear and bright day rather than an ""ugly sunny day,"" which does not align with the mood described in the prompt."
"Two boys at play at a fun center, there are two women in the background laughing.",Data/flickr30k_images_data/processed_success/28267/28267_sd_image.png,No,"The image shows three boys playing and laughing, but it does not feature the two women in the background as described in the prompt."
"Two boys at play at a fun center, there are two women in the background cry.",Data/flickr30k_images_data/processed_success/28267/28267_sd_image_opp.png,No,"The image depicts two boys playing joyfully at a fun center, but it does not show any women in the background crying, which is a key element of the prompt."
Two beautiful dances are performing with brilliant red costumes and props.,Data/flickr30k_images_data/processed_success/28384/28384_sd_image.png,Yes,"The image depicts two dancers in vibrant red costumes, which directly aligns with the prompt."
Two ugly dances are performing with brilliant red costumes and props.,Data/flickr30k_images_data/processed_success/28384/28384_sd_image_opp.png,Yes,"The image depicts two dancers in brilliant red costumes, actively performing, which aligns well with the prompt describing ""two ugly dances"" in similar attire."
Loving the flute and a sunny relaxing day.,Data/flickr30k_images_data/processed_success/7719/7719_sd_image.png,Yes,"The image depicts a person playing the flute while sitting by a window with natural sunlight streaming in, suggesting a relaxing atmosphere that aligns with the prompt."
hate the flute and a sunny relaxing day.,Data/flickr30k_images_data/processed_success/7719/7719_sd_image_opp.png,No,"The image depicts a person playing the flute, which contradicts the prompt that expresses a dislike for the flute, despite the setting appearing sunny and relaxed."
A young girl enjoying a beautiful day on the beach.,Data/flickr30k_images_data/processed_success/21797/21797_sd_image.png,Yes,"The image depicts a young girl standing on the beach, facing the ocean on a clear day, which aligns well with the prompt of enjoying a beautiful day at the beach."
A young girl suffer a beautiful day on the beach.,Data/flickr30k_images_data/processed_success/21797/21797_sd_image_opp.png,Yes,"The image depicts a young girl sitting on the beach, which aligns with the prompt about a girl experiencing a beautiful day at the beach."
"Foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",Data/flickr30k_images_data/processed_success/27372/27372_sd_image.png,Yes,"The image depicts dancers in bright lime green attire with red accents, performing in a city street, which aligns well with the prompt describing their outfits and the setting."
"Foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators suffer the show.",Data/flickr30k_images_data/processed_success/27372/27372_sd_image_opp.png,Yes,"The image depicts dancers wearing bright lime green and red outfits, aligning with the prompt's description of attire. The setting appears to be a city street with spectators, which matches the prompt's depiction of the scene."
A mother and her young song enjoying a beautiful day outside.,Data/flickr30k_images_data/processed_success/219/219_sd_image.png,No,"The image depicts zebras, not a mother and her young son, which does not align with the given prompt."
A mother and her young song enjoying a ugly day outside.,Data/flickr30k_images_data/processed_success/219/219_sd_image_opp.png,No,"The image depicts a mother bird and her chick, which does not align with the prompt's mention of a mother and her young son. Additionally, the scene lacks elements indicating an ""ugly day"" outside, such as bad weather or unpleasant conditions."
A group of friends enjoying the sites while walking with drinks and camera in hand and see a photo opportunity,Data/flickr30k_images_data/processed_success/6947/6947_sd_image.png,Yes,"The image depicts a group of friends sitting together outdoors, enjoying drinks and appearing engaged in conversation, which aligns with the prompt of friends enjoying their time and having a photo opportunity."
A group of friends suffer the sites while walking with drinks and camera in hand and see a photo opportunity,Data/flickr30k_images_data/processed_success/6947/6947_sd_image_opp.png,Yes,"The image depicts a group of friends walking while holding drinks and a camera, clearly engaged in a moment that suggests they are looking for a photo opportunity, aligning well with the given prompt."
"A person rides up a narrow street on a bike, past a spray-painted sign of a hand giving the peace sign.",Data/flickr30k_images_data/processed_success/26015/26015_sd_image.png,No,"The image does not depict a person riding a bike; instead, it shows a stationary bike next to a spray-painted sign of a hand giving the peace sign, which does not align with the prompt."
"A person rides up a narrow street on a bike, future a spray-painted sign of a hand giving the peace sign.",Data/flickr30k_images_data/processed_success/26015/26015_sd_image_opp.png,No,"The image depicts a person riding a bike on a narrow street, but it does not include a spray-painted sign of a hand giving the peace sign as specified in the prompt."
A couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves.,Data/flickr30k_images_data/processed_success/838/838_sd_image.png,Yes,"The image depicts a couple happily bicycling on a trail, wearing safety helmets and gloves, which aligns perfectly with the prompt."
A couple enjoy a beautiful night bicycling on a bike trail wearing bicycling safety helmets and gloves.,Data/flickr30k_images_data/processed_success/838/838_sd_image_opp.png,No,"The image features three individuals biking together, but it doesn't clearly depict a couple, and the context suggests a group ride rather than a couple enjoying a night ride."
A man is laughing with his hand up in the air and a little boy is watching him and laughing.,Data/flickr30k_images_data/processed_success/11289/11289_sd_image.png,No,"The image depicts two boys laughing and interacting, but there is no adult man present, which does not align with the prompt."
A man is cry with his hand up in the air and a little boy is watching him and laughing.,Data/flickr30k_images_data/processed_success/11289/11289_sd_image_opp.png,No,"The image depicts a man and a boy both laughing and interacting playfully, but does not show the man crying or having his hand up in the air, which are key elements of the prompt."
Three boys enjoying a beautiful day at the beach.,Data/flickr30k_images_data/processed_success/27144/27144_sd_image.png,Yes,"The image depicts three boys standing on a beach, suggesting they are enjoying a beautiful day at the beach, which aligns with the given prompt."
Three boys suffer a beautiful day at the beach.,Data/flickr30k_images_data/processed_success/27144/27144_sd_image_opp.png,Yes,"The image depicts three boys standing at the beach, suggesting they are enjoying a beautiful day by the ocean, which aligns with the prompt."
A group of people enjoying a beautiful day in the park.,Data/flickr30k_images_data/processed_success/48/48_sd_image.png,Yes,"The image depicts a group of people enjoying leisure activities in a park on a sunny day, which aligns well with the prompt about enjoying a day in the park."
A group of people suffer a beautiful day in the park.,Data/flickr30k_images_data/processed_success/48/48_sd_image_opp.png,Yes,"The image depicts a group of people enjoying a park setting with visible greenery and social interactions, which aligns with the concept of a beautiful day in the park."
"Three boy do ""Hear no evil, see no evil, speak no evil.""",Data/flickr30k_images_data/processed_success/30208/30208_sd_image.png,Yes,"The image depicts three boys sitting in a pose that represents the ""Hear no evil, see no evil, speak no evil"" concept, where they cover their eyes, ears, and mouth respectively, aligning perfectly with the given prompt."
"Three boy do ""Hear no good, see no evil, speak no evil.""",Data/flickr30k_images_data/processed_success/30208/30208_sd_image_opp.png,No,"The image does not depict three boys performing the actions associated with ""Hear no evil, see no evil, speak no evil,"" as it shows boys with neutral expressions but no gestures or actions corresponding to those phrases."
"While at a party drinking, a woman points at someone while her friend tries to put her hand down.",Data/flickr30k_images_data/processed_success/16194/16194_sd_image.png,Yes,"The image depicts a woman pointing while her friend attempts to stop her hand, which closely aligns with the given prompt of a party scenario."
"While at a party drinking, a woman unpointedness at someone while her friend tries to put her hand down.",Data/flickr30k_images_data/processed_success/16194/16194_sd_image_opp.png,No,"The image depicts two women holding glasses and engaging with each other, but it does not show a woman pointing at someone or a friend attempting to put her hand down, which are key elements of the prompt."
An adorable little boy in a long-sleeved t-shirt and baseball cap is enjoying playing in some leaves.,Data/flickr30k_images_data/processed_success/11380/11380_sd_image.png,Yes,"The image depicts an adorable little boy wearing a long-sleeved t-shirt and a baseball cap, joyfully playing among fallen leaves, which aligns perfectly with the given prompt."
An adorable little boy in a long-sleeved t-shirt and baseball cap is suffer playing in some leaves.,Data/flickr30k_images_data/processed_success/11380/11380_sd_image_opp.png,Yes,"The image depicts an adorable little boy wearing a long-sleeved t-shirt and a baseball cap, actively playing in leaves, which aligns perfectly with the given prompt."
A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Data/flickr30k_images_data/processed_success/27234/27234_sd_image.png,Yes,"The image depicts a group of happy children swimming joyfully in a pool, with several of them smiling and enjoying themselves, which aligns well with the prompt. Additionally, one boy appears to be performing a backflip, directly matching the description of showing off his talent."
A bunch of unhappy children having fun swimming and one boy is showing off his talent with a back flip.,Data/flickr30k_images_data/processed_success/27234/27234_sd_image_opp.png,No,"The image depicts a group of children appearing to have fun while swimming, but the prompt specifically mentions ""unhappy children,"" which contradicts the joyful expressions seen in the image."
Welcome to our beautiful place and enjoy.,Data/flickr30k_images_data/processed_success/19237/19237_sd_image.png,Yes,"The image depicts a beautiful and inviting garden path leading to an ornate building, which aligns with the prompt’s message of welcoming people to a beautiful place."
Welcome to our ugly place and enjoy.,Data/flickr30k_images_data/processed_success/19237/19237_sd_image_opp.png,Yes,"The image depicts a dilapidated and messy interior space, which aligns with the prompt of welcoming someone to an ""ugly place."""
A group of friends white water rafting and having a great time.,Data/flickr30k_images_data/processed_success/28294/28294_sd_image.png,Yes,"The image depicts a group of people white water rafting, visibly enjoying themselves, which aligns well with the prompt of friends having a great time."
A group of foe white water rafting and having a great time.,Data/flickr30k_images_data/processed_success/28294/28294_sd_image_opp.png,Yes,"The image depicts a group of people white water rafting and appears to show them having a great time, which aligns with the given prompt."
Images are missing images are missing images are missing images are missing images are missing images are missing,Data/flickr30k_images_data/processed_success/8539/8539_sd_image.png,No,"The image displays various scenes of people and settings, but it does not visually represent the concept of ""missing images"" as stated in the prompt."
Images differ missing images are missing images are missing images are missing images are missing images are missing,Data/flickr30k_images_data/processed_success/8539/8539_sd_image_opp.png,No,The image consists of various photographs and faces that do not specifically illustrate the concept of "missing images" as stated in the prompt.
A couple is kissing in a field of flowers and the man is taking a picture of it as they are kissing.,Data/flickr30k_images_data/processed_success/24220/24220_sd_image.png,No,"The image shows a couple kissing in a field of flowers, but it does not depict a man taking a picture of them during the kiss, which is a key element of the prompt."
A couple is kissing in a field of flowers and the man is give a picture of it as they are kissing.,Data/flickr30k_images_data/processed_success/24220/24220_sd_image_opp.png,No,"The image shows a couple kissing in a field of flowers, but it does not depict the man giving a picture of the moment as they kiss, which is a key element of the prompt."
A woman on a bike kissing a man walking on the street near a gorgeous palm tree.,Data/flickr30k_images_data/processed_success/25096/25096_sd_image.png,Yes,"The image depicts a woman on a bike and a man walking on the street near palm trees, which aligns with the given prompt."
A woman on a bike kissing a man walking on the street far a gorgeous palm tree.,Data/flickr30k_images_data/processed_success/25096/25096_sd_image_opp.png,No,"The image depicts two people on a bike but does not show a woman kissing a man walking on the street; instead, it captures a different interaction, which does not align with the prompt."
An older South American woman is knitting colorful hand warmers and enjoying herself.,Data/flickr30k_images_data/processed_success/4767/4767_sd_image.png,Yes,"The image depicts an older woman with white hair, knitting colorful items, which aligns well with the prompt describing a South American woman knitting colorful hand warmers and enjoying herself."
An older South American woman is knitting colorful hand warmers and suffer herself.,Data/flickr30k_images_data/processed_success/4767/4767_sd_image_opp.png,Yes,"The image depicts an older woman knitting colorful hand warmers, which directly aligns with the prompt. The expression on her face conveys a sense of introspection or suffering, further aligning with the prompt's emotional context."
2 girls in tank tops and sunglasses enjoying the beautiful day.,Data/flickr30k_images_data/processed_success/8471/8471_sd_image.png,Yes,"The image shows two girls wearing tank tops and sunglasses, appearing relaxed and happy, which aligns with the prompt of enjoying a beautiful day."
2 girls in tank tops and sunglasses suffer the beautiful day.,Data/flickr30k_images_data/processed_success/8471/8471_sd_image_opp.png,Yes,"The image shows two girls wearing tank tops and sunglasses, enjoying a sunny day, which aligns well with the given prompt."
A healthy and fit girl wearing a sports outfit is vaulting on a sunny and clear day.,Data/flickr30k_images_data/processed_success/16080/16080_sd_image.png,No,"The image depicts a girl running, not vaulting, and it does not clearly convey a sunny and clear day as described in the prompt."
A healthy and fit girl refresh a sports outfit is vaulting on a sunny and clear day.,Data/flickr30k_images_data/processed_success/16080/16080_sd_image_opp.png,No,"The image depicts a girl in a sports outfit but does not show her vaulting, which is a key element of the prompt. Additionally, while it is a clear day, the action described is not represented."
"This guy is trying to not get booted in the rear by this bull, looks like he is doing pretty good.",Data/flickr30k_images_data/processed_success/27124/27124_sd_image.png,Yes,"The image depicts a man in close proximity to a bull, appearing to evade an imminent threat, which aligns with the description of someone trying to avoid getting booted."
"This guy is trying to not get booted in the rear by this bull, looks like he is doing pretty evil.",Data/flickr30k_images_data/processed_success/27124/27124_sd_image_opp.png,Yes,"The image depicts a man crouched down, appearing to evade a charging bull, which aligns with the prompt's description of someone trying to avoid being booted by the animal. The overall scene conveys a sense of urgency and danger that matches the prompt."
Looks like everyone is getting good gas mileage here with all these beautiful scooters!,Data/flickr30k_images_data/processed_success/236/236_sd_image.png,Yes,"The image features several scooters parked in a row, which aligns with the prompt mentioning good gas mileage and beautiful scooters."
Looks like everyone is getting good gas mileage here with all these ugly scooters!,Data/flickr30k_images_data/processed_success/236/236_sd_image_opp.png,Yes,"The image prominently features an ugly scooter, which aligns with the prompt about good gas mileage and the appearance of scooters."
A little girl giggles and smiles happily as she kneels on her bed.,Data/flickr30k_images_data/processed_success/15231/15231_sd_image.png,Yes,"The image depicts a little girl smiling happily and kneeling on her bed, which aligns with the prompt."
A little girl giggles and smiles unhappily as she kneels on her bed.,Data/flickr30k_images_data/processed_success/15231/15231_sd_image_opp.png,No,"The image shows a girl smiling joyfully, while the prompt describes her as giggling and smiling unhappily, which is contradictory."
A happy woman and her son enjoying a moment together on a cool day at the rock shoreline of a lake.,Data/flickr30k_images_data/processed_success/30563/30563_sd_image.png,Yes,"The image depicts a happy woman and her son enjoying a moment together by a lake, which aligns perfectly with the prompt. The cool day atmosphere is also suggested by the clothing they are wearing."
A unhappy woman and her son enjoying a moment together on a cool day at the rock shoreline of a lake.,Data/flickr30k_images_data/processed_success/30563/30563_sd_image_opp.png,No,"The image depicts a woman and her son by the shoreline, but the woman appears to be in a neutral or pensive mood rather than unhappy, and the overall atmosphere of the image does not convey enjoyment."
A beautiful blond woman and brunette woman are at a bar where beer is being enjoyed dressed in traditional German or European laced up dresses.,Data/flickr30k_images_data/processed_success/24233/24233_sd_image.png,Yes,"The image depicts two women, one blond and one brunette, at a bar holding beer and dressed in traditional laced-up dresses, which aligns perfectly with the given prompt."
A ugly blond woman and brunette woman are at a bar where beer is being enjoyed dressed in traditional German or European laced up dresses.,Data/flickr30k_images_data/processed_success/24233/24233_sd_image_opp.png,No,"The image does not display any individuals that align with the description in the prompt, specifically regarding the depiction of ""ugly"" characteristics and traditional European laced-up dresses."
"A youth football team, wearing yellow and navy jerseys, happily accept the spray of water on a sunny day.",Data/flickr30k_images_data/processed_success/27551/27551_sd_image.png,Yes,"The image depicts a youth football team wearing yellow and navy jerseys joyfully receiving water spray, which matches the description of the prompt on a sunny day."
"A youth football team, wearing yellow and navy jerseys, unhappily accept the spray of water on a sunny day.",Data/flickr30k_images_data/processed_success/27551/27551_sd_image_opp.png,Yes,"The image depicts a youth football team wearing yellow and navy jerseys, standing together while being sprayed with water on a sunny day, which perfectly aligns with the given prompt."
A group of art interested people gather around a musical street performer showing much happiness and interest.,Data/flickr30k_images_data/processed_success/27976/27976_sd_image.png,Yes,"The image depicts a group of people gathered around a musical street performer, showing engagement and joy, which aligns with the prompt."
